class,index,true,pred,misclassified,perturb_norm_l2
2,200,2,3,True,781.4947509765625
2,201,2,0,True,764.0081787109375
2,202,2,6,True,791.5499267578125
2,203,2,3,True,791.80517578125
2,204,2,6,True,788.2106323242188
2,205,2,6,True,749.8570556640625
2,206,2,3,True,786.0509033203125
2,207,2,3,True,786.0658569335938
2,208,2,2,False,794.13671875
2,209,2,0,True,229.96102905273438
2,210,2,1,True,794.9896850585938
2,211,2,3,True,779.9257202148438
2,212,2,3,True,780.30126953125
2,213,2,3,True,772.1195068359375
2,214,2,3,True,772.2464599609375
2,215,2,3,True,787.7515258789062
2,216,2,2,False,551.5157470703125
2,217,2,3,True,703.0372314453125
2,218,2,3,True,193.7465362548828
2,219,2,3,True,784.1489868164062
2,220,2,2,False,770.2747192382812
2,221,2,3,True,799.0138549804688
2,222,2,7,True,610.1072998046875
2,223,2,3,True,460.5381774902344
2,224,2,3,True,740.8035278320312
2,225,2,3,True,767.4615478515625
2,226,2,6,True,662.74462890625
2,227,2,3,True,778.9403076171875
2,228,2,6,True,753.0117797851562
2,229,2,0,True,706.5335693359375
2,230,2,3,True,787.7228393554688
2,231,2,3,True,798.0274047851562
2,232,2,9,True,783.8816528320312
2,233,2,3,True,799.4768676757812
2,234,2,8,True,610.4739379882812
2,235,2,3,True,791.1741333007812
2,236,2,3,True,792.0242919921875
2,237,2,0,True,789.8614501953125
2,238,2,3,True,767.4370727539062
2,239,2,3,True,768.4192504882812
2,240,2,6,True,777.6817016601562
2,241,2,3,True,794.3821411132812
2,242,2,3,True,789.7521362304688
2,243,2,3,True,798.3624877929688
2,244,2,2,False,143.40855407714844
2,245,2,0,True,746.947509765625
2,246,2,3,True,798.9078979492188
2,247,2,3,True,768.2262573242188
2,248,2,3,True,775.3873901367188
2,249,2,3,True,787.385986328125
2,250,2,1,True,793.8510131835938
2,251,2,0,True,790.31396484375
2,252,2,3,True,720.5975341796875
2,253,2,3,True,785.8297119140625
2,254,2,6,True,784.7785034179688
2,255,2,9,True,782.5377197265625
2,256,2,3,True,783.8900756835938
2,257,2,3,True,745.9081420898438
2,258,2,3,True,742.3253173828125
