class,index,true,pred,misclassified,perturb_norm_l2
6,600,6,2,True,800.5133666992188
6,601,6,0,True,795.8154907226562
6,602,6,3,True,765.1100463867188
6,603,6,3,True,800.478271484375
6,604,6,0,True,783.7144775390625
6,605,6,3,True,775.9990844726562
6,606,6,3,True,764.8092651367188
6,607,6,3,True,794.1043701171875
6,608,6,0,True,702.9368896484375
6,609,6,2,True,754.0703735351562
6,610,6,0,True,792.3485717773438
6,611,6,2,True,768.5996704101562
6,612,6,3,True,763.9320678710938
6,613,6,3,True,764.2428588867188
6,614,6,2,True,790.0155639648438
6,615,6,2,True,778.5992431640625
6,616,6,3,True,786.3814086914062
6,617,6,3,True,786.2764892578125
6,618,6,3,True,685.4807739257812
6,619,6,2,True,789.205322265625
6,620,6,9,True,789.4542236328125
6,621,6,0,True,699.1614990234375
6,622,6,1,True,739.3561401367188
6,623,6,3,True,786.2117919921875
6,624,6,2,True,793.6635131835938
6,625,6,3,True,660.7155151367188
6,626,6,3,True,759.8856201171875
6,627,6,3,True,748.5363159179688
6,628,6,2,True,794.124267578125
6,629,6,0,True,683.073974609375
6,630,6,3,True,790.9987182617188
6,631,6,3,True,783.5849609375
6,632,6,3,True,782.9471435546875
6,633,6,3,True,795.6661376953125
6,634,6,0,True,786.2257690429688
6,635,6,2,True,795.6686401367188
6,636,6,2,True,778.5444946289062
6,637,6,3,True,0.0
6,638,6,2,True,792.503173828125
6,639,6,2,True,803.5831298828125
6,640,6,0,True,625.7850952148438
6,641,6,3,True,789.097900390625
6,642,6,2,True,798.7786865234375
6,643,6,3,True,809.5661010742188
6,644,6,3,True,786.9269409179688
6,645,6,2,True,784.31103515625
6,646,6,3,True,795.6781005859375
6,647,6,3,True,801.7281494140625
6,648,6,2,True,798.5455322265625
6,649,6,3,True,781.6146850585938
6,650,6,2,True,404.08056640625
6,651,6,2,True,794.4365234375
6,652,6,2,True,784.7260131835938
6,653,6,3,True,763.967041015625
6,654,6,3,True,786.815185546875
6,655,6,3,True,797.969970703125
6,656,6,2,True,786.8013305664062
6,657,6,0,True,780.07373046875
6,658,6,0,True,717.4124145507812
6,659,6,0,True,779.3170166015625
6,660,6,0,True,786.2883911132812
6,661,6,3,True,791.6273803710938
6,662,6,2,True,767.8846435546875
6,663,6,2,True,770.449951171875
6,664,6,2,True,774.0726928710938
6,665,6,2,True,777.6731567382812
6,666,6,3,True,792.6055297851562
6,667,6,2,True,784.6590576171875
6,668,6,3,True,787.6686401367188
6,669,6,3,True,785.0164794921875
6,670,6,3,True,798.0306396484375
6,671,6,3,True,731.5807495117188
6,672,6,3,True,770.4686279296875
6,673,6,2,True,778.1727905273438
6,674,6,0,True,765.5093383789062
6,675,6,2,True,757.0907592773438
6,676,6,3,True,147.81695556640625
6,677,6,0,True,455.9444580078125
6,678,6,2,True,784.4995727539062
6,679,6,0,True,574.2601928710938
6,680,6,3,True,777.40966796875
6,681,6,2,True,767.0322265625
6,682,6,0,True,559.4259643554688
6,683,6,5,True,772.2272338867188
6,684,6,2,True,784.7938232421875
6,685,6,3,True,511.7651672363281
6,686,6,3,True,804.06298828125
6,687,6,3,True,601.4658813476562
6,688,6,2,True,777.2424926757812
6,689,6,2,True,773.2860717773438
6,690,6,3,True,793.8987426757812
6,691,6,2,True,787.1561279296875
6,692,6,2,True,777.2937622070312
6,693,6,2,True,792.010498046875
6,694,6,3,True,766.9674682617188
6,695,6,2,True,754.18896484375
6,696,6,0,True,768.98193359375
6,697,6,3,True,772.4244995117188
6,698,6,7,True,728.4351196289062
6,699,6,7,True,759.6214599609375
7,700,7,3,True,649.8355712890625
7,701,7,2,True,793.2332763671875
7,702,7,0,True,780.7257690429688
7,703,7,2,True,792.0521240234375
7,704,7,4,True,768.710693359375
7,705,7,0,True,626.3250122070312
7,706,7,2,True,770.80126953125
7,707,7,1,True,791.7630004882812
7,708,7,3,True,760.812744140625
7,709,7,3,True,747.1724853515625
7,710,7,2,True,779.2442626953125
7,711,7,3,True,747.1153564453125
7,712,7,3,True,784.0836181640625
7,713,7,2,True,793.5547485351562
7,714,7,2,True,799.36669921875
7,715,7,3,True,776.7030639648438
7,716,7,3,True,771.9483032226562
7,717,7,3,True,769.766845703125
7,718,7,3,True,795.0225830078125
7,719,7,2,True,775.27294921875
7,720,7,2,True,786.3547973632812
7,721,7,3,True,739.982421875
7,722,7,0,True,641.6810302734375
7,723,7,3,True,780.5018920898438
7,724,7,0,True,513.4912719726562
7,725,7,2,True,780.5869750976562
7,726,7,3,True,187.07635498046875
7,727,7,2,True,791.9008178710938
7,728,7,2,True,775.5862426757812
7,729,7,2,True,781.0502319335938
7,730,7,3,True,765.198974609375
7,731,7,2,True,802.7764892578125
7,732,7,2,True,794.7345581054688
7,733,7,2,True,797.4204711914062
7,734,7,1,True,786.9454345703125
7,735,7,2,True,794.5144653320312
7,736,7,2,True,771.3999633789062
7,737,7,3,True,641.6775512695312
7,738,7,2,True,789.5696411132812
7,739,7,3,True,747.1636962890625
7,740,7,9,True,803.1173706054688
7,741,7,2,True,793.78759765625
7,742,7,3,True,790.847900390625
7,743,7,0,True,700.7559814453125
7,744,7,3,True,774.8177490234375
7,745,7,3,True,781.4550170898438
7,746,7,3,True,762.4228515625
7,747,7,2,True,785.1450805664062
7,748,7,0,True,713.96728515625
7,749,7,3,True,769.5474853515625
7,750,7,2,True,792.876708984375
7,751,7,8,True,733.482666015625
7,752,7,3,True,791.1801147460938
7,753,7,0,True,754.7898559570312
7,754,7,2,True,792.078369140625
7,755,7,6,True,789.6357421875
7,756,7,2,True,779.7440185546875
